"details","date","city","state","country","shape","summary","report_date","posted_date","image"
"https://nuforc.org/sighting/?id=168497",NA,"Fountain","NC","USA","Circle","This is for the post in Lexington, you're not alone",NA,NA,""
"https://nuforc.org/sighting/?id=168493",NA,"Scottsdale","AZ","USA","Triangle","Two triangle drone looking aircraft with blue lights",NA,NA,""
"https://nuforc.org/sighting/?id=168783",NA,"San Diego","CA","USA","Other","Saw a jet black, seahorse shaped craft hovering about 1-2000 feet above San Diego international airport from a boat on the bay.",NA,NA,""
"https://nuforc.org/sighting/?id=170665",NA,"Beach Haven","NJ","USA","Oval","Spotted tiny pill shaped object that was at commercial flight altitude while sitting at beach.",NA,NA,""
"https://nuforc.org/sighting/?id=168514",NA,"St Petersburg","FL","USA","Disk","Saw a bright white multi-directionally object moving in same vicinity.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168464",NA,"Boca Raton","FL","USA","Sphere","We have seen these objects numerous times, sometimes multiple objects.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168508",NA,"Redlands","CA","USA","","7 spherical UFOs with lights heading in north direction",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168498",NA,"Visible from Dulles/Sterling high in the sky","VA","USA","Oval","Oval shaped white object high in the sky moving in a strait line",NA,NA,""
"https://nuforc.org/sighting/?id=168603",NA,"Fairport","NY","USA","Circle","Multiple unkniwn objects in the sky.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168511",NA,"Oklahoma City","OK","USA","Light","Thought it’s reflection or something but I played it slowly multiple times and enlarged the video - it may be something else.",NA,NA,""
"https://nuforc.org/sighting/?id=168524",NA,"Cabramatta","New South Wales","Australia","Light","Saw moving objects and then disappeared",NA,NA,""
"https://nuforc.org/sighting/?id=168492",NA,"Merrimack","NH","USA","Changing","I have UFOs. This is just 2 minutes. On 2 separate days in a week",NA,NA,""
"https://nuforc.org/sighting/?id=168469",NA,"Peekskill","NY","USA","Light","Sighted moving between Carmel and Ossining.",NA,NA,""
"https://nuforc.org/sighting/?id=168150",NA,"Cold Bluff, Alabama","AL","USA","Changing","Terrifying",NA,NA,""
"https://nuforc.org/sighting/?id=168651",NA,"Myrtle Beach","SC","USA","Triangle","I am watching the same 3 crafts form a triangle above my apartment every night. One over the ocean.",NA,NA,""
"https://nuforc.org/sighting/?id=168704",NA,"Ajax","ON","Canada","","MADAR Node 41",NA,NA,""
"https://nuforc.org/sighting/?id=168528",NA,"Tunkhannock","PA","USA","Circle","Looking a crescent moon and a weird shaped appeared.",NA,NA,""
"https://nuforc.org/sighting/?id=168529",NA,"Union","SC","USA","Triangle","Observed a single light not blinking with a Silhouette black that appeared to be in the shape of a Triangle",NA,NA,""
"https://nuforc.org/sighting/?id=168563",NA,"Seoul","Seoul","South Korea","Circle","For about two to three hours, objects that emit blue and red lights in the sky were moving slowly side to side and stayed stagnant.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168482",NA,"Killeen","TX","USA","Changing","Tic Tac Tube turning into a ball of light.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170510",NA,"Point pleasant","NJ","USA","Changing","I am a security guard at a beach and I saw blinking things in the sky they formed the triangles and squares they changed colors",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168527",NA,"Prescott Valley","AZ","USA","Chevron","The craft just popped up hung in the air and then shot off",NA,NA,""
"https://nuforc.org/sighting/?id=173711",NA,"Surprise","AZ","USA","","MADAR site 201, 66 mi from Prescott Valley had a good magnetometer spike & compass variation.",NA,NA,""
"https://nuforc.org/sighting/?id=168561",NA,"Sydney","New South Wales","Australia","Changing","To the naked eye, it looked like the brightest star in the sky, but when I used my telescope, I saw it changing Color’s and shape",NA,NA,""
"https://nuforc.org/sighting/?id=168533",NA,"Chester","NY","USA","Triangle","Was looking at a passing jetliner",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168612",NA,"Davis","CA","USA","Disk","Eight foot diameter metallic disk with pointed crown-like prominences along its rim, cruising SW to NE 100 yards above head.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168535",NA,"New York","NY","USA","Cylinder","Cylinder Object high in sky with top half fire or lights",NA,NA,""
"https://nuforc.org/sighting/?id=173160",NA,"Cabra","Córdoba Province","Spain","Oval","Grabación de vídeo y al reproducirlo aparece algo durante dos o tres décimas de segundo un artefacto que parece venir de otra dimensión",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168706",NA,"Dothan","AL","USA","","MADAR Node 195",NA,NA,""
"https://nuforc.org/sighting/?id=168534",NA,"Lafayette","LA","USA","Star","Walking my dog looked up and saw what I thought was a balloon floating by but as I watched it I noticed it zoomed back and forth.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=171383",NA,"Portland","OR","USA","Changing","Shape shifting tictac object on a clear day",NA,NA,""
"https://nuforc.org/sighting/?id=168504",NA,"ashtabula","OH","USA","Orb","Faint glowing light, orb like but more cloudy appearance",NA,NA,""
"https://nuforc.org/sighting/?id=168713",NA,"Hanover","MD","USA","","MADAR Node 77",NA,NA,""
"https://nuforc.org/sighting/?id=168541",NA,"Douglasville Atlanta area","GA","USA","Sphere","Light in sky strobing",NA,NA,""
"https://nuforc.org/sighting/?id=168542",NA,"Clarkston","MI","USA","","Amazing ive never seen anything like this",NA,NA,""
"https://nuforc.org/sighting/?id=168543",NA,"Cullman","AL","USA","Unknown","UFO was seemingly “bouncing” and “flashing” in mid-air.",NA,NA,""
"https://nuforc.org/sighting/?id=168516",NA,"Odenton","MD","USA","Sphere","A bright white sphere moving about 100 ft above tree line above woods",NA,NA,""
"https://nuforc.org/sighting/?id=168540",NA,"Eastlake","OH","USA","Triangle","I saw three lights making up a triangle. I took a photo then switched to night vision and the shape was then illuminated",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168547",NA,"Quakertown","PA","USA","Sphere","Watched solid white light move across the sky, caught our attention making a fast circle before its path. No blinking lights.",NA,NA,""
"https://nuforc.org/sighting/?id=168548",NA,"Clarkston","MI","USA","","I see multiple UFO everynight",NA,NA,""
"https://nuforc.org/sighting/?id=173389",NA,"Gatineau","QC","Canada","Other","An upwardly pointed infrared camera captured a longish object moving from screen top to bottom",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168546",NA,"Bryson City","NC","USA","Formation","3 bright dots converged on one another then split off in different directions.",NA,NA,""
"https://nuforc.org/sighting/?id=168491",NA,"Mount Clemens","MI","USA","Rectangle","At dusk, looking almost straight up, a silent, crisp, bluish white rectangle raced across the sky in about one second.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168549",NA,"Kingsland","GA","USA","Light","Encompassed in Solid white light, straight path directly south",NA,NA,""
"https://nuforc.org/sighting/?id=168539",NA,"Cicero","NY","USA","Oval","Speechless",NA,NA,""
"https://nuforc.org/sighting/?id=168640",NA,"Kansas","OK","USA","Disk","I was grilling on the porch and noticed a round looking cloud and tok a video. Didn't notice the objects until later",NA,NA,""
"https://nuforc.org/sighting/?id=168485",NA,"Soledad","Atlántico Department","Colombia","Cone","Le envíe a mi esposo un registro fotográfico desde el celular",NA,NA,"Y"
"https://nuforc.org/sighting/?id=172779",NA,"Idaho Falls","ID","USA","Light","Driving son to school in morning and there was a bright green flash of light in sky above mountain to the East of me.",NA,NA,""
"https://nuforc.org/sighting/?id=168711",NA,"Pine City","NY","USA","","MADAR Node 82",NA,NA,""
"https://nuforc.org/sighting/?id=168714",NA,"Youngstown","OH","USA","","MADAR Node 73",NA,NA,""
"https://nuforc.org/sighting/?id=168554",NA,"Castleford","","United Kingdom","Other","Object caught in photo",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168530",NA,"","VA","USA","Formation","5 objects, same flight path, no sound",NA,NA,""
"https://nuforc.org/sighting/?id=168536",NA,"Yakima","WA","USA","Sphere","At our just below the cloud line, yellow lights kept intensifying and dimming on a dark night just above the mountain range.,",NA,NA,""
"https://nuforc.org/sighting/?id=168404",NA,"Romsey","Hampshire","United Kingdom","Light","4 circle white lights were circling in the sky",NA,NA,""
"https://nuforc.org/sighting/?id=168557",NA,"Estes Park","CO","USA","Light","Randomly moving lights in the sky moving above, through, and below clouds.",NA,NA,""
"https://nuforc.org/sighting/?id=168552",NA,"Carolina Beach","NC","USA","Chevron","Delta shaped object moved from my 5 o’clock to my 11 o’clock position, moving silently, 130 KIAS, approximately 1500 AGL",NA,NA,""
"https://nuforc.org/sighting/?id=168558",NA,"Raleigh","NC","USA","Triangle","Silent triangular craft seen flying over Raleigh",NA,NA,""
"https://nuforc.org/sighting/?id=168544",NA,"Searcy","AR","USA","Circle","Sky was clear, we was looking through our binoculars debating on setting up the telescope when we seen it.",NA,NA,""
"https://nuforc.org/sighting/?id=173800",NA,"Searcy","AR","USA","Circle","Circular spinning light with a glow all the way around",NA,NA,""
"https://nuforc.org/sighting/?id=168430",NA,"Austin","TX","USA","Unknown","Over the last year I have beennoting the effects of what I now consider to be an invasion from a coalition of “advanced” beings, and I",NA,NA,""
"https://nuforc.org/sighting/?id=168555",NA,"Blountville","TN","USA","Oval","Object came out of storm cloud sat far s few seconds, shifted to the rt and disappeared",NA,NA,"Y"
"https://nuforc.org/sighting/?id=173774",NA,"Box Hill South","Victoria","Australia","Chevron","Poto shot",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168708",NA,"Monsevelier CH","","Switzerland","","MADAR Node 149",NA,NA,""
"https://nuforc.org/sighting/?id=168461",NA,"Converse","TX","USA","Egg","Shape Shifting UFO",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168716",NA,"Lacey","WA","USA","","MADAR Node 50",NA,NA,""
"https://nuforc.org/sighting/?id=168715",NA,"Littlerock","AR","USA","","MADAR Node 56",NA,NA,""
"https://nuforc.org/sighting/?id=168710",NA,"Wichita","KS","USA","","MADAR Node 123",NA,NA,""
"https://nuforc.org/sighting/?id=168525",NA,"Seattle","WA","USA","Light","Bright orange/red light slowly moving over downtown, changing direction, and then going strait up until it disappeared.",NA,NA,""
"https://nuforc.org/sighting/?id=168418",NA,"Riverton","UT","USA","Unknown","Last night, I saw a dim object fly across the sky. It was not lit up and was moving at a fast, steady and constant speed",NA,NA,""
"https://nuforc.org/sighting/?id=168459",NA,"Ocilla","GA","USA","Unknown","Skyline",NA,NA,""
"https://nuforc.org/sighting/?id=168409",NA,"Raleigh","NC","USA","Oval","I saw a very bright object starting up down left right very fast and very high above the clouds",NA,NA,""
"https://nuforc.org/sighting/?id=171608",NA,"Luck","WI","USA","Light","Ring camera motion sensor",NA,NA,""
"https://nuforc.org/sighting/?id=174957",NA,"McMinnville","OR","USA","Light","I've watched a large low star like (with rays), thing, low in the sky.",NA,NA,""
"https://nuforc.org/sighting/?id=168720",NA,"Towson","MD","USA","","MADAR Node 31",NA,NA,""
"https://nuforc.org/sighting/?id=168545",NA,"Fort collins","CO","USA","Circle","Dark silent craft",NA,NA,""
"https://nuforc.org/sighting/?id=173443",NA,"Fort Hall","ID","USA","Light","Was playing with friends, my older bro got mad, and he ran and that’s when the light in the sky happened.",NA,NA,""
"https://nuforc.org/sighting/?id=168635",NA,"Navarre","FL","USA","Triangle","Large triangle with lights hovering at tree level",NA,NA,""
"https://nuforc.org/sighting/?id=171346",NA,"Port Blair","Andaman and Nicobar Islands","India","Circle","That was a UFO lot's of people saw that",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168707",NA,"Syracuse","NY","USA","","MADAR Node 164",NA,NA,""
"https://nuforc.org/sighting/?id=168408",NA,"Bucksport","ME","USA","Changing","I took 5 photos of a Eastern Kingbird. When I got home I noticed a solid object in all 5 photos.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=175960",NA,"Hradec nad Moravicí","Opava District","Czech Republic","Sphere","Son and I saw a dark spherical object hovering in the sky over the valley",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168718",NA,"Kansas City","MO","USA","","MADAR Node 40",NA,NA,""
"https://nuforc.org/sighting/?id=168448",NA,"Jacksonville","FL","USA","Circle","Witness three objects hovering in the sky for a period of two hours this morning in Jacksonville Florida",NA,NA,""
"https://nuforc.org/sighting/?id=168449",NA,"Opelika","AL","USA","Formation","Three orbs rotating flying through the sky",NA,NA,""
"https://nuforc.org/sighting/?id=168435",NA,"Dayton","MN","USA","Light","Pulsing bright blue light flashing across sky, producing a visible blue line along path of travel",NA,NA,""
"https://nuforc.org/sighting/?id=168436",NA,"Shohola","PA","USA","Cylinder","Thick white bar of light descends while moving left to right in my field of vision. Flashes and disappears four times as it descends.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168691",NA,"Dubai","Dubai","United Arab Emirates","Unknown","I am a living human alien hybrid",NA,NA,""
"https://nuforc.org/sighting/?id=168455",NA,"Kyiv","","Ukraine","Other","Z - shaped formation of UFOs",NA,NA,"Y"
"https://nuforc.org/sighting/?id=168456",NA,"Kyiv","","Ukraine","Other","Z shape UFO formation",NA,NA,""
"https://nuforc.org/sighting/?id=171726",NA,"Cuenca","","Ecuador","Light","Triangle shape moving lights",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170886",NA,"West Lafayette","OH","USA","Light","Bright circle light moving through sky.",NA,NA,"Y"
"https://nuforc.org/sighting/?id=170856",NA,"Burr Ridge","IL","USA","Other","Strange red, blue and black craft in the sky and green light below it just above the tree line",NA,NA,"Y"
